term,estimate,std.error,D,sim_scenaio
R1_K[2],0.24313551384519,0.0691944609060237,10,JPLP_sim
R1_K[3],0.233719510126452,0.0486250571994444,10,JPLP_sim
mu0_true,0.310031846926579,0.375503450457809,10,JPLP_sim
sigma0,0.746417858612328,0.256767607809993,10,JPLP_sim
beta,1.05921747546855,0.0747013910583033,10,JPLP_sim
kappa,0.87237266884876,0.0518779212344925,10,JPLP_sim
R1_K[1],1.16769038009669,0.105236658169469,10,JPLP_sim
R1_K[2],0.246031639402218,0.0649922078069002,10,JPLP_sim
R1_K[3],0.186528497808838,0.0472316902680907,10,JPLP_sim
mu0_true,0.160278796064552,0.307309341901237,10,JPLP_sim
sigma0,0.528255838286564,0.170320680012367,10,JPLP_sim
beta,1.17489877502944,0.0747597885367006,10,JPLP_sim
kappa,0.75474373972165,0.0503328432945219,10,JPLP_sim
R1_K[1],1.05342802076323,0.083002551148128,10,JPLP_sim
R1_K[2],0.373242720863278,0.0865361992556487,10,JPLP_sim
R1_K[3],0.269809798303779,0.0515623518831114,10,JPLP_sim
mu0_true,-0.228520678370854,0.240117757883427,10,JPLP_sim
sigma0,0.715931407189232,0.23070467342603,10,JPLP_sim
beta,1.28307429483612,0.0976519640027446,10,JPLP_sim
kappa,0.772745958469665,0.057047894006783,10,JPLP_sim
R1_K[1],0.939403421719721,0.0929182926945042,10,JPLP_sim
R1_K[2],0.249270179495498,0.0892530650891494,10,JPLP_sim
R1_K[3],0.229814425599616,0.0484439848373613,10,JPLP_sim
mu0_true,0.280849195338723,0.284620763307518,10,JPLP_sim
sigma0,0.667314638019469,0.197809726143472,10,JPLP_sim
beta,1.09020966154858,0.0750271117953142,10,JPLP_sim
kappa,0.895369294294272,0.0526104651704102,10,JPLP_sim
R1_K[1],1.13975163457869,0.0939385096548215,10,JPLP_sim
R1_K[2],0.3416580892058,0.0614617490202544,10,JPLP_sim
R1_K[3],0.2533817041752,0.0480687952693335,10,JPLP_sim
mu0_true,0.0380481781696732,0.264959326016254,10,JPLP_sim
sigma0,0.708079609682799,0.255083934938485,10,JPLP_sim
beta,1.06711847162561,0.0777493537999033,10,JPLP_sim
kappa,0.800832019032639,0.0646112697368415,10,JPLP_sim
R1_K[1],1.16431592564956,0.127609849166062,10,JPLP_sim
R1_K[2],0.358885962692766,0.0928212142553598,10,JPLP_sim
R1_K[3],0.176946312301042,0.0521824133835685,10,JPLP_sim
mu0_true,-0.00326106894907932,0.304414798032508,10,JPLP_sim
sigma0,0.453906887182515,0.164522224556723,10,JPLP_sim
beta,1.13945198022623,0.0703995083558702,10,JPLP_sim
kappa,0.822480185722224,0.0622457142348517,10,JPLP_sim
R1_K[1],1.10147325973296,0.0875024147854422,10,JPLP_sim
R1_K[2],0.31277913358553,0.1141453367181,10,JPLP_sim
R1_K[3],0.249436043924137,0.0685780898652747,10,JPLP_sim
mu0_true,0.0202125210019728,0.229780970989618,10,JPLP_sim
sigma0,0.229048287627324,0.100919830085102,10,JPLP_sim
beta,1.14428442017369,0.0631735160952987,10,JPLP_sim
kappa,0.896939684693901,0.051904065391915,10,JPLP_sim
R1_K[1],0.973179169707163,0.078351467586093,10,JPLP_sim
R1_K[2],0.26775919117883,0.0744886349359682,10,JPLP_sim
R1_K[3],0.221732243977312,0.0366144614499423,10,JPLP_sim
mu0_true,0.176973229646233,0.146708562997385,10,JPLP_sim
sigma0,0.497076348229225,0.163735682670988,10,JPLP_sim
beta,1.33473507560541,0.101981996187953,10,JPLP_sim
kappa,0.753947108917887,0.0669100120842207,10,JPLP_sim
R1_K[1],0.838143290421771,0.0835921683813471,10,JPLP_sim
R1_K[2],0.236215384801951,0.0759219867499368,10,JPLP_sim
R1_K[3],0.247847621387516,0.0596817850588856,10,JPLP_sim
mu0_true,0.025204329581249,0.2522289168293,10,JPLP_sim
