term,estimate,std.error,D,sim_scenaio
mu0_true,0.457071577661226,0.27227611074056,10,PLP_sim
sigma0,0.24699703372145,0.103324820932249,10,PLP_sim
beta,1.10983209781473,0.0563709842689754,10,PLP_sim
R1_K[1],1.0454661904755,0.0835287515727121,10,PLP_sim
R1_K[2],0.284552345670267,0.0723171925197454,10,PLP_sim
R1_K[3],0.186762771730593,0.0363451923754744,10,PLP_sim
mu0_true,-0.0866995654151664,0.173410558701478,10,PLP_sim
sigma0,0.426939671665881,0.120548791233862,10,PLP_sim
beta,1.18433381447307,0.04449674975056,10,PLP_sim
R1_K[1],0.974525811968729,0.0643913725741429,10,PLP_sim
R1_K[2],0.278352778752228,0.0545212060331418,10,PLP_sim
R1_K[3],0.199586343790178,0.0263974906687305,10,PLP_sim
mu0_true,-0.244124529297759,0.184366904563317,10,PLP_sim
sigma0,0.520261987188923,0.144639443471855,10,PLP_sim
beta,1.21573151383795,0.0550505102862866,10,PLP_sim
R1_K[1],1.07195018909259,0.0713673265092036,10,PLP_sim
R1_K[2],0.300688878507411,0.0536690751505878,10,PLP_sim
R1_K[3],0.284664054025296,0.0380285022711512,10,PLP_sim
mu0_true,0.0995662867481896,0.213831430299231,10,PLP_sim
sigma0,0.392806042239828,0.127386139904953,10,PLP_sim
beta,1.19043381586163,0.066557512548026,10,PLP_sim
R1_K[1],0.961040288018278,0.0868335217102741,10,PLP_sim
R1_K[2],0.36684419713593,0.102164389756296,10,PLP_sim
R1_K[3],0.247453156940879,0.0467340493369175,10,PLP_sim
mu0_true,0.141292388378716,0.198177683334399,10,PLP_sim
sigma0,0.341164467043772,0.115445159153186,10,PLP_sim
beta,1.16148495942511,0.0762399109539305,10,PLP_sim
R1_K[1],1.07619847732683,0.104154247910032,10,PLP_sim
R1_K[2],0.232463461989854,0.0838343737246981,10,PLP_sim
R1_K[3],0.258914275667399,0.0571014743766284,10,PLP_sim
mu0_true,0.469075206080409,0.20351419971467,10,PLP_sim
sigma0,0.381093615579302,0.145880033035668,10,PLP_sim
beta,1.17068732015359,0.0714795820503548,10,PLP_sim
R1_K[1],1.09713760297371,0.110583793728437,10,PLP_sim
R1_K[2],0.243807676855796,0.096563731708835,10,PLP_sim
R1_K[3],0.194514681197826,0.0512555591997507,10,PLP_sim
mu0_true,0.220631838847138,0.212192948488897,10,PLP_sim
sigma0,0.524412675154573,0.145950775365424,10,PLP_sim
beta,1.29365528722553,0.0702003989923339,10,PLP_sim
R1_K[1],0.858690731684508,0.0713535744653215,10,PLP_sim
R1_K[2],0.29939442743186,0.084169101173225,10,PLP_sim
R1_K[3],0.24135714535915,0.0409059353321429,10,PLP_sim
mu0_true,0.44241701453772,0.201156704033806,10,PLP_sim
sigma0,0.301631789486628,0.101844307382108,10,PLP_sim
beta,1.21687186644473,0.0559945554083516,10,PLP_sim
R1_K[1],0.947513940428418,0.0636400326862404,10,PLP_sim
R1_K[2],0.268492526200036,0.0608865862845496,10,PLP_sim
R1_K[3],0.175126068564969,0.028766016034907,10,PLP_sim
mu0_true,0.323616514044461,0.158134721098437,10,PLP_sim
sigma0,0.442068362742671,0.13596446750597,10,PLP_sim
beta,1.31021750634486,0.0682289753660351,10,PLP_sim
R1_K[1],0.950626178963207,0.0676582257114764,10,PLP_sim
R1_K[2],0.296116356849413,0.0735333859197121,10,PLP_sim
R1_K[3],0.257458496774638,0.0436286578860272,10,PLP_sim
mu0_true,0.338769438197601,0.192201493884025,10,PLP_sim
